station_id;station_name;lat;lon;altitude;from_date;to_date;fed_state
07433;Trier-Irsch;49.7261;6.6957;240;20081105;20190623;Rheinland-Pfalz
07434;Herrenalb, Bad (LUBW);48.8042;8.4430;351;20081103;20190623;Baden-Württemberg
07436;Schönwald/Schwarzwald (LUBW);48.1004;8.1973;1025;20081103;20190623;Baden-Württemberg
07487;Saulgau,Bad;48.0272;9.4860;576;20081103;20190623;Baden-Württemberg
07488;Betzweiler-Wälde;48.3846;8.4787;538;20081103;20190623;Baden-Württemberg
07489;Birenbach;48.7448;9.6484;348;20081103;20190623;Baden-Württemberg
07490;Bretten, Kreis Karlsruhe;49.0334;8.7121;170;20081103;20190623;Baden-Württemberg
07491;Crailsheim (LUBW);49.1540;10.0632;395;20081103;20190623;Baden-Württemberg
07492;Creglingen (LUBW);49.4844;10.0190;260;20081103;20190623;Baden-Württemberg
07493;Forbach (LUBW);48.6704;8.3534;304;20081103;20190623;Baden-Württemberg
07494;Königsbach-Stein, Enzkreis;48.9597;8.5905;160;20081103;20190623;Baden-Württemberg
07495;Krautheim;49.3786;9.6307;226;20081103;20190623;Baden-Württemberg
07496;Rosenberg;49.0137;10.0477;460;20081103;20100211;Baden-Württemberg
07497;Tennenbronn;48.1872;8.3667;651;20081103;20190623;Baden-Württemberg
07498;Zaberfeld (Emetsklinge);49.0580;8.9124;249;20081103;20190623;Baden-Württemberg
07499;Wallmenroth;50.7893;7.8280;172;20070701;20190623;Rheinland-Pfalz
07500;Badewitz bei Zerbst;52.0223;12.1597;82;20070101;20190623;Sachsen-Anhalt
10339;Fichtenberg/BW-Michelbächle;48.9972;9.7396;365;20181201;20190623;Baden-Württemberg
10510;Winterbach/Remstal;48.8059;9.5046;241;20090101;20190623;Baden-Württemberg
13654;Wilsdruff-Mohorn;51.0063;13.4710;288;20070801;20190623;Sachsen
13662;Boecke;52.3031;12.4029;37;20070508;20160128;Brandenburg
13669;Ostbevern-Schirlheide;52.0087;7.8520;55;20070901;20190623;Nordrhein-Westfalen
13670;Duisburg-Baerl;51.5088;6.7018;24;20070531;20190623;Nordrhein-Westfalen
13671;Overath-Böke;50.9655;7.2753;221;20071201;20190623;Nordrhein-Westfalen
13672;Weidenstetten;48.5537;9.9877;593;20080814;20150101;Baden-Württemberg
13674;Waibstadt;49.2943;8.9053;237;20070801;20190623;Baden-Württemberg
13675;Hameln-Hastenbeck;52.0818;9.4077;77;20071101;20190508;Niedersachsen
13687;Weddelbrook;53.9005;9.8308;18;20071101;20190623;Schleswig-Holstein
13688;Pegau;51.1693;12.2618;128;20080301;20190623;Sachsen
13689;Höhr-Grenzhausen;50.4351;7.6657;241;20090916;20190623;Rheinland-Pfalz
13694;Teisendorf-Babing;47.8317;12.8222;590;20081105;20190623;Bayern
13695;Teisendorf-Neukirchen (Wildberg);47.8219;12.7715;780;20081105;20190623;Bayern
13696;Waltrop-Abdinghof;51.5966;7.4049;60;20071201;20190623;Nordrhein-Westfalen
13698;Lauchheim (Berghof);48.8767;10.2414;503;20080101;20190623;Baden-Württemberg
13699;Lehrte-Sievershausen;52.3667;10.1266;66;20080301;20190623;Niedersachsen
13700;Gevelsberg-Oberbröking;51.3329;7.3411;205;20080501;20190623;Nordrhein-Westfalen
13710;Landshut-Reithof;48.5734;12.2576;490;20080401;20190623;Bayern
13711;Krölpa-Rockendorf;50.6819;11.5150;289;20071201;20190623;Thüringen
13712;Münchehofe;52.1488;13.8359;44;20080901;20190623;Brandenburg
13713;Meinerzhagen-Redlendorf;51.0899;7.6290;380;20071101;20190623;Nordrhein-Westfalen
13715;Biberach an der Riß-Bergerhausen;48.1003;9.8058;604;20080301;20190623;Baden-Württemberg
13716;Blumberg-Randen;47.8190;8.5774;818;20080901;20190623;Baden-Württemberg
